date,name,origin,price,specification
2024-05-23,樱桃,辽宁/山东,50,胶框
2024-05-23,杨梅,福建/云南,17.78,胶框
2024-05-23,李,云南/广东,10.67,纸箱
2024-05-23,枇杷,云南/福建,18.33,泡沫箱
2024-05-23,芒果,海南,6.5,筐
2024-05-23,火龙果,广东/海南,9.33,胶框
2024-05-23,杨桃,广东,4.75,胶框
2024-05-23,龙眼,海南,13.75,泡沫箱
2024-05-23,圣女果,广西/广东/海南,12.2,胶箱
2024-05-23,荔枝,海南,12.5,泡沫箱
2024-05-23,番石榴,广东,4.75,纸箱
2024-05-23,苹果,陕西,11.17,胶箱
2024-05-23,香瓜,广西/海南,4.3,纸箱
2024-05-23,布冧,陕西,14.29,纸箱
2024-05-23,提子,云南,18,胶框
2024-05-23,桃,河北/山东/广西/陕西/山西/湖北,13.89,纸箱
2024-05-23,梨,山西,8.26,纸箱
2024-05-23,香梨,新疆,13.75,纸箱
2024-05-23,菠萝蜜,海南,8.5,个
2024-05-23,菠萝,广东,5.43,胶框
2024-05-23,香蕉,广东/海南,4.8,纸箱
2024-05-23,西瓜,海南/广西/云南,4.86,纸箱
2024-05-23,柠檬,四川/广东/海南,11.5,纸箱
2024-05-23,橙,广西/湖南/湖北,8.67,胶箱
2024-05-23,哈密瓜,海南,6.57,纸箱
2024-05-23,进口菠萝,泰国,10,纸箱
2024-05-23,进口山竹,泰国/印尼,48.75,特级
2024-05-23,进口火龙果,越南,10.5,纸箱
2024-05-23,进口榴莲,泰国/越南,57.06,纸箱
2024-05-23,进口椰子,泰国,11,纸箱
2024-05-23,进口西柑,秘鲁,11.36,纸箱
2024-05-23,进口西柚,以色列,10,纸箱
2024-05-23,进口牛油果,秘鲁,25,纸箱
2024-05-23,进口啤梨,智利,23,纸箱
2024-05-23,进口苹果,美国,16.32,纸箱
2024-05-23,进口提子,秘鲁/澳大利亚,25.79,胶箱
2024-05-23,进口橙,美国/埃及,16.47,纸箱
2023-05-23,樱桃,辽宁/山东,54,胶框
2023-05-23,杨梅,福建/云南,16.67,胶框
2023-05-23,李,云南/广东,11,纸箱
2024-05-23,樱桃,辽宁/山东,50,胶框
2024-05-23,杨梅,福建/云南,17.78,胶框
2024-05-23,李,云南/广东,10.67,纸箱
2024-05-23,枇杷,云南/福建,18.33,泡沫箱
2024-05-23,芒果,海南,6.5,筐
2024-05-23,火龙果,广东/海南,9.33,胶框
2024-05-23,杨桃,广东,4.75,胶框
2024-05-23,龙眼,海南,13.75,泡沫箱
2024-05-23,圣女果,广西/广东/海南,12.2,胶箱
2024-05-23,荔枝,海南,12.5,泡沫箱
2024-05-23,番石榴,广东,4.75,纸箱
2024-05-23,苹果,陕西,11.17,胶箱
2024-05-23,香瓜,广西/海南,4.3,纸箱
2024-05-23,布冧,陕西,14.29,纸箱
2024-05-23,提子,云南,18,胶框
2024-05-23,桃,河北/山东/广西/陕西/山西/湖北,13.89,纸箱
2024-05-23,梨,山西,8.26,纸箱
2024-05-23,香梨,新疆,13.75,纸箱
2024-05-23,菠萝蜜,海南,8.5,个
2024-05-23,菠萝,广东,5.43,胶框
2019-05-23,火龙果,广东/海南,9.67,胶框
2019-05-23,杨桃,广东,4.38,胶框
2019-05-23,龙眼,海南,16.38,泡沫箱
2019-05-23,圣女果,广西/广东/海南,11.5,胶箱
2019-05-23,荔枝,海南,16.88,泡沫箱
2019-05-23,番石榴,广东,4.38,纸箱
2019-05-23,桃,河北/山东/广西/陕西/山西/湖北,14.44,纸箱
2019-05-23,香瓜,广西/海南,4.5,纸箱
2019-05-23,布冧,陕西,10.71,纸箱
2019-05-23,菠萝,广东/海南,5.71,筐
2019-05-23,香梨,新疆,14.58,纸箱
2019-05-23,梨,河北,8.55,纸箱
2019-05-23,橙,广西/湖南/湖北,8.22,胶框
2019-05-23,菠萝蜜,广西,5.45,个
2019-05-23,香蕉,广东/海南,5.2,纸箱
2019-05-23,哈密瓜,海南,7.68,纸箱
2019-05-23,西瓜,海南/广西/云南,5.36,纸箱
2019-05-23,柠檬,四川/广东/海南,12,纸箱
2019-05-23,提子,云南,19.58,胶框
2019-05-23,苹果,山东/陕西,10.42,纸箱
2020-05-23,进口菠萝,泰国,10.5,纸箱
2020-05-23,进口菠萝蜜,泰国,8.75,纸箱
2020-05-23,进口龙眼,泰国,24.5,特级
2020-05-23,进口火龙果,越南,12,纸箱
2020-05-23,进口山竹,泰国/印度尼西亚,53.75,特级
2020-05-23,进口椰子,泰国,11.67,纸箱
2020-05-23,进口榴莲,泰国/越南,52.94,纸箱
2020-05-23,进口奇异果,智利/希腊,26,纸箱
2020-05-23,进口牛油果,秘鲁,24,纸箱
2020-05-23,进口橙,美国,17.35,纸箱
2020-05-23,进口苹果,秘鲁,16.32,纸箱
2020-05-23,进口提子,智利/秘鲁,24.21,纸箱
2020-05-23,进口西柚,南非/智利/埃及,11.67,纸箱
2020-05-23,进口啤梨,新西兰/智利/比利时,19,纸箱
2019-05-23,樱桃,辽宁/山东,69,胶框
2019-05-23,杨梅,福建/云南,15.56,胶框
2019-05-23,李,云南/广东,12.17,纸箱
2019-05-23,枇杷,云南/福建,19.17,泡沫箱
2019-05-23,芒果,海南,6.65,筐
2019-05-23,木瓜,海南,5.43,泡沫箱
2020-05-23,火龙果,广东/海南,9.67,胶框
2020-05-23,杨桃,广东,4.25,胶框
2020-05-23,龙眼,海南,16.25,泡沫箱
2020-05-23,圣女果,广西/广东/海南,11.4,胶箱
2020-05-23,荔枝,海南,17,泡沫箱
2020-05-23,番石榴,广东,4.25,纸箱
